period,hazard_rt,hazard_chemo,hr,period_bin
1,0.004029115018763759,0.0020740335082211543,0.5147615539795445,0-3
2,0.004060246846096569,0.0020911444915081862,0.5150289060672669,0-3
3,0.004078595223073339,0.002102730400987549,0.5155526072045661,0-3
4,0.011274651875849294,0.0047671846186032795,0.42282322071644257,4-6
5,0.011203497263058955,0.0047477779402735855,0.4237764180947613,4-6
6,0.011186675923717002,0.004735295800543764,0.42329784404537973,4-6
7,0.010445693445128997,0.009212588892137488,0.8819509150379551,7-12
8,0.010456549688017234,0.009214947210493063,0.8812607872989888,7-12
9,0.010346031447047105,0.009188663385684673,0.8881341055953624,7-12
10,0.010079241566745651,0.008905935596462205,0.8835918394738623,7-12
11,0.01005532104383937,0.008921764544380302,0.8872679952716608,7-12
12,0.010153120689901787,0.008999572363058327,0.886384850325795,7-12
13,0.008489172538906405,0.005545446966346432,0.6532376319283538,13-24
14,0.008484981843511583,0.005528114413678995,0.6515175301060088,13-24
15,0.008279352916482161,0.005370548938845033,0.6486677151004866,13-24
16,0.008231419554591023,0.005374268844310454,0.6528969649363807,13-24
17,0.008269014943618445,0.005408067527305035,0.6540159334793164,13-24
18,0.0083685170654996,0.005493762229031424,0.6564797784401061,13-24
19,0.00841803167818077,0.005527260695482087,0.6565977542955255,13-24
20,0.008489464634488806,0.005592426833102498,0.6587490582601675,13-24
21,0.008507310336608861,0.0055895683023827036,0.6570311980191366,13-24
22,0.008452534653358539,0.0056031148107990765,0.6628916698463613,13-24
23,0.008512724260711976,0.005629765868183806,0.6613353957870299,13-24
24,0.008426815873787366,0.005620100604368727,0.6669305095238561,13-24
25,0.0050331895223937285,0.003717487510657957,0.7385947805299335,25-60
26,0.005046090964924919,0.003754183237681391,0.7439785100539205,25-60
27,0.0050868494777662945,0.0037686766293397976,0.7408665512537783,25-60
28,0.005145786993747145,0.0038177883912424953,0.7419250730513419,25-60
29,0.005118880076483851,0.003807741480289586,0.7438622166169434,25-60
30,0.0051191564273482945,0.0037893086410615865,0.7402213030291077,25-60
31,0.005094149332959839,0.0037931588651245584,0.7446108500554361,25-60
32,0.005131110751263377,0.0038330796928861717,0.7470272770749286,25-60
33,0.00512727252595126,0.0038243253133347045,0.7458790797598923,25-60
34,0.005037030061690321,0.0037905200739849223,0.7525307626837756,25-60
35,0.005056556923274644,0.0038054602444456873,0.752579334552662,25-60
36,0.0049971706992646935,0.0037847133862864758,0.7573712434604997,25-60
37,0.005003427466178776,0.0037971727279749196,0.7589143149655573,25-60
38,0.005075288672520004,0.0038558710134218143,0.7597343249260501,25-60
39,0.005120207059038921,0.003895523667968654,0.7608136981670924,25-60
40,0.005170526128638613,0.003939215644967825,0.7618597308984127,25-60
41,0.005210513037353187,0.0039712764659515795,0.762166112527163,25-60
42,0.005210733661952024,0.003991268529589182,0.7659705501228763,25-60
43,0.0051045299474985475,0.0038738579033513448,0.7589059018548244,25-60
44,0.00517143366261853,0.0038725202964797908,0.7488291543739845,25-60
45,0.005213364409562659,0.003891801354817347,0.7465047614317496,25-60
46,0.005209710624875434,0.0039056261087921738,0.7496819670066721,25-60
47,0.005262232587960732,0.003944876216332491,0.749658277241076,25-60
48,0.005307718701185585,0.0039915781997249015,0.7520327327884394,25-60
49,0.005372364638946995,0.004043495014093333,0.7526471648592106,25-60
50,0.005444265519695128,0.004083897601599691,0.7501282931234374,25-60
51,0.00550535406798903,0.004140756023267533,0.7521325553508039,25-60
52,0.005582472976755871,0.004193077301352278,0.7511146616940707,25-60
53,0.005653504046974963,0.004239907608913957,0.7499610106731269,25-60
54,0.005696029966017076,0.004286358731241072,0.7525168857632062,25-60
55,0.00552470738609011,0.004240730765187796,0.7675937328128799,25-60
56,0.005535777471872697,0.004267182119955092,0.7708370037698694,25-60
57,0.005575999227080619,0.004294637535884665,0.7702005256792644,25-60
58,0.005587641307157603,0.004181038264565042,0.7482653296318889,25-60
59,0.0056511093539132855,0.004236060335470387,0.7495980116783613,25-60
60,0.005667495688915428,0.004284106579939905,0.7559082203306876,25-60
61,0.0057643088802721894,0.002467477124299781,0.4280612256474478,60+
62,0.00580593079293669,0.0024386963063561316,0.42003537302287025,60+
63,0.005887245727558764,0.0024752654832110015,0.42044541671227437,60+
64,0.005673974219143512,0.0024199199778959543,0.4264947080181203,60+
65,0.005919424176792753,0.0025132004687649385,0.4245684028892544,60+
66,0.005929424498989252,0.0025560721223735045,0.4310826662535665,60+
67,0.005900769843595744,0.0025589318173875877,0.4336606722875087,60+
68,0.005997826954215636,0.002621199720814942,0.4370248993216792,60+
69,0.005824568627690318,0.002574962427287429,0.44208637443911586,60+
70,0.005901251687306485,0.002603017755421363,0.4410958714098604,60+
71,0.006024760411339351,0.0026541278425141162,0.4405366622577582,60+
72,0.006095078242870781,0.0026704027699242777,0.4381244445955657,60+
73,0.006209400579826068,0.0027253016766293154,0.43889931750959027,60+
74,0.006209813442052632,0.0027714454896311125,0.44630092602508536,60+
75,0.006300182205991466,0.0028110120293781604,0.446179481397362,60+
76,0.00626671827180686,0.0028146244860365994,0.44913850662462745,60+
77,0.006438487509119327,0.002891799465234186,0.4491426691654378,60+
78,0.0066251298679806565,0.0029765652496197316,0.4492840606801555,60+
79,0.006642236219454629,0.0029579218715009557,0.4453201864211659,60+
80,0.0067701495340738325,0.0030213217768171007,0.4462710552567466,60+
81,0.00692172101768737,0.003049765545088154,0.44060798424191866,60+
82,0.0069909122372974085,0.003011978289235049,0.4308419540965999,60+
83,0.007155137559699122,0.0030660983666187503,0.4285170398244142,60+
84,0.007261512565340369,0.003092946473007768,0.42593694429044787,60+
85,0.0073164857890685095,0.0031166562890853977,0.425977221706897,60+
86,0.007398150511791426,0.003143667063280724,0.424926075546887,60+
