hpv_clean,CATE_3m,CATE_6m,CATE_12m,CATE_24m,CATE_60m,CATE_156m,group,ecog_ps,primary_site_group,t,n,m,smoking_status_clean,pathology_group,age_group,smoking_py_group
HPV_Negative,-0.01135433384971623,-0.058359285968260476,-0.09275713440551078,-0.10877422551116646,-0.10833404437130299,-0.09048659230212656,hpv_clean,,,,,,,,,
HPV_Positive,-0.0049749701694803035,-0.03790656344529133,-0.05121019041761879,-0.073206931540157,-0.06823481587691572,-0.07205732431224232,hpv_clean,,,,,,,,,
HPV_Unknown,-0.00962333289630048,-0.05032688321705666,-0.057072988733765304,-0.07457529556339143,-0.0780925265334044,-0.0830708220550281,hpv_clean,,,,,,,,,
,-0.006206052255207077,-0.017813522034945274,0.022501878646424844,-0.0035564613846410255,-0.012488393616604209,-0.045061293124234535,ecog_ps,0.0,,,,,,,,
,-0.00763738636918057,-0.051486314546221164,-0.084380807662321,-0.10977575553453472,-0.12258245837442823,-0.06495836588080722,ecog_ps,1.0,,,,,,,,
,-0.01025048824357995,-0.05670995994261852,-0.08890435932997762,-0.1168340497410876,-0.1285987423869274,-0.07678330766958101,ecog_ps,2.0,,,,,,,,
,-0.007360987535728179,-0.05468993290510454,-0.08692897173720361,-0.11430530808213885,-0.13915503896732997,-0.09458850441290273,ecog_ps,3.0,,,,,,,,
,-0.005908058497966216,-0.05473190787949435,-0.07811212712306373,-0.05272659763459369,-0.16236990498606887,-0.02167736992102698,ecog_ps,4.0,,,,,,,,
,-0.007499109285560983,-0.022191547457581527,0.03726938600282298,0.003117970293506024,-0.03406008638711342,-0.027816960862932085,primary_site_group,,Larynx,,,,,,,
,-0.005282182368998491,-0.019718599221496633,-0.01831060544445122,-0.036936490096478425,-0.021302526008597097,-0.03967855447575753,primary_site_group,,Nasopharynx,,,,,,,
,-0.006828214885989891,-0.043610672609758844,-0.06094431882789783,-0.08119079576413,-0.07803151941594771,-0.07718007323848146,primary_site_group,,Oropharynx,,,,,,,
,-0.007051335793751568,-0.018325269730299545,0.007311664542863834,-0.02447963510015001,-0.045020995444507335,-0.04152513695146181,primary_site_group,,Other_HNC,,,,,,,
,-0.007257291350132492,-0.01897652716382374,-0.008122031985928818,-0.040890475082326724,-0.04197243387792057,-0.054683601628768806,t,,,T0,,,,,,
