group_col,group,n,cf_mean,cf_lo,cf_up,log_mean,log_lo,log_up
hpv_clean,HPV_Negative,87,-0.00037128318810133825,-0.0004661380198927608,-0.00028420657629608026,2.246351895218021,1.8572897425363533,2.607118051222339
hpv_clean,HPV_Positive,242,-0.00016420628325216187,-0.00021116316385642154,-0.0001197576240584471,2.5045216938117214,2.3441257470545596,2.6628767575352246
hpv_clean,HPV_Unknown,37,-0.00037841201241936383,-0.0005264492110530942,-0.00023668091654456715,2.9007749565791094,2.473671547213452,3.3514838979545716
stage,I,92,-0.00023399951826902837,-0.00033221454696055286,-0.00014417578275540283,2.8490695000333806,2.56389963823952,3.138492058368906
stage,IVB,78,-0.00035153750104249766,-0.0004592926778248835,-0.0002466404043535453,1.9718637617221917,1.6300214125253427,2.3314502646601944
stage,IVA,376,-0.00019888103094733476,-0.00023605150585681125,-0.00016322937132839203,2.427825388477014,2.284928495212288,2.5701038954012105
stage,III,159,-0.00025342934086999304,-0.000324685768576856,-0.00018890301131143609,2.646244039625109,2.407393371819905,2.872522962948032
stage,II,87,-0.00021924339904382559,-0.0003076117640108375,-0.00014249745443120255,2.664592888925352,2.339605853693895,2.9789652600345966
smoking_status_clean,Ex-Smoker,307,-0.00015917760341134878,-0.0001980236282953618,-0.00012673342433103794,2.7226540651596878,2.545206954083865,2.90138634326454
smoking_status_clean,Non-Smoker,209,-8.699149228557761e-05,-0.00011185003072663271,-6.298061731501178e-05,2.450199529922584,2.3148927944433852,2.6035823844038792
smoking_status_clean,Current,293,-0.0004047039082544326,-0.00046630985209192294,-0.00034313795702732363,2.2553190738207785,2.07238438287738,2.4403654534547186
