period,haz_treated,haz_control,period_length_days,hr,hr_lo,hr_up,S_treated,S_control,delta_rmst_period_days
1,0.0020740335082211543,0.005433688456507495,30,0.38169901068532003,0.3811584621274013,0.38230650485249,0.9979259664917789,0.9945663115434925,0.0
2,0.0020911444915081862,0.005478162667509822,30,0.3817236943164279,0.38117862249815654,0.3823353918241704,0.9958391591040167,0.9891179155052321,0.1007896484485915
3,0.002102730400987549,0.005508098894922921,30,0.3817524777788098,0.3812016785510696,0.3823683611501939,0.9937451778296748,0.9836697562078893,0.20163730796353696
4,0.0047671846186032795,0.015194521722565904,30,0.3137436442980216,0.31243119058779883,0.31521917606427113,0.989007811103114,0.9687233647293575,0.3022626486535629
5,0.0047477779402735855,0.015133316197742502,30,0.31373017508098,0.31235795168693475,0.3152381801118974,0.9843122216348004,0.9540633677427671,0.6085333912126945
6,0.004735295800543764,0.015092183098627943,30,0.31375817332710854,0.3123295216666624,0.3153243167961522,0.9796512121052692,0.9396644687090997,0.9074656167609974
7,0.009212588892137488,0.01419791791433003,30,0.6488690065491346,0.6474385339915466,0.650458923774736,0.9706260882304591,0.9263231897153554,1.1996023018850843
8,0.009214947210493063,0.01419949198868584,30,0.6489631613465846,0.6474988062188546,0.6506062086940488,0.9616818200662881,0.9131698710040583,1.3290869554531115
9,0.009188663385684673,0.01416332931560406,30,0.648764367539016,0.6473869417960132,0.6505607462112137,0.9528452495375664,0.9002363453999402,1.4553584718668933
10,0.008905935596462205,0.013738091067135208,30,0.6482658728160077,0.6469778165014562,0.6499815277266052,0.9443592711117899,0.8878688165048909,1.578267124128786
11,0.008921764544380302,0.013761442528663206,30,0.648316085017794,0.6469497802874038,0.6500782061337943,0.9359339200496278,0.8756504608135667,1.6947136382069683
12,0.008999572363058327,0.013880120103477729,30,0.6483785656006998,0.6469970293143128,0.6501565639317137,0.9275109150091003,0.8634963272488088,1.8085037770818346
13,0.005545446966346432,0.011625955327834964,30,0.4769884977167832,0.47564693422498755,0.4786666023359479,0.9223674524192099,0.8534573575224645,1.920437632808747
14,0.005528114413678995,0.011588848150126762,30,0.4770201785428112,0.4755785526433304,0.4787421515145522,0.9172684996107829,0.8435667698035283,2.0673028469023613
15,0.005370548938845033,0.011269453020472569,30,0.47655808397165905,0.4753202954847845,0.4780798483800575,0.9123422642435622,0.8340602337215957,2.2110518942176394
16,0.005374268844310454,0.01127583989523073,30,0.4766180518919547,0.4753358339328183,0.47816203774790333,0.9074390916374904,0.8246555040631722,2.3484609156589977
17,0.005408067527305035,0.011345249194367359,30,0.4766812464542435,0.47538226264281913,0.47827639658938587,0.9025315997529985,0.8152995818700689,2.483507627229544
18,0.005493762229031424,0.011522822347044694,30,0.47677227536536937,0.47541617020782395,0.4784113864301356,0.8975733057397681,0.8059050296285603,2.6169605364878867
19,0.005527260695482087,0.011591074164762278,30,0.4768549158528696,0.47547517421701035,0.47851422609792404,0.8926121840856388,0.7965637246603807,2.750048283336236
20,0.005592426833102498,0.011723996018473846,30,0.47700688607283265,0.47556662910351705,0.4787117231866437,0.8876203157558041,0.7872248147240017,2.8814537827577427
21,0.0055895683023827036,0.011716219606305355,30,0.4770795094498355,0.4755969052302802,0.4788267079437158,0.8826589013743046,0.7780015159151623,3.0118650309540715
22,0.0056031148107990765,0.011741778317049237,30,0.47719473656416,0.4756513607598884,0.4789962390335802,0.8777132622111306,0.7688663945849582,3.139721563774268
23,0.005629765868183806,0.0117939280419763,30,0.47734443080767097,0.4757111326782123,0.4791042802121439,0.8727719420454821,0.7597984396533294,3.2654060287851703
24,0.005620100604368727,0.011772921878353668,30,0.4773751718086356,0.4757089647581185,0.4792409508735693,0.8678668759265163,0.7508533919799957,3.3892050717645827
