period,hazard_rt,hazard_chemo,hr,period_bin
1,0.005572288898186012,0.0033235384223518328,0.5964404364306684,0-3
2,0.005624236376126718,0.003355836997336892,0.596674245695196,0-3
3,0.005663177669127833,0.0033804175499754625,0.5969117953694837,0-3
4,0.012631295860844778,0.005872112239235366,0.46488597083994204,4-6
5,0.012601365170810171,0.005864572129268937,0.46539180872669605,4-6
6,0.012603003510017604,0.005856976280810446,0.46472860823651907,4-6
7,0.011493461222130264,0.008365220275570778,0.7278242919081533,7-12
8,0.011516485468236033,0.00837618426198913,0.7273212200972021,7-12
9,0.011482983838387863,0.008387763755077783,0.7304515858532612,7-12
10,0.011294184441511715,0.00823647958490902,0.7292673169596808,7-12
11,0.011284361482793834,0.008256258688078118,0.7316549279874713,7-12
12,0.011408664647996256,0.008341216583637774,0.7311299648993338,7-12
13,0.00886316044703872,0.005371779703550056,0.6060794832327363,13-24
14,0.008899116938695757,0.005383194640271194,0.6049133500947284,13-24
15,0.008790466307110962,0.005325720242536309,0.605851846360883,13-24
16,0.008747179995251014,0.005326260999776887,0.6089117867322498,13-24
17,0.008802039878856182,0.005368562396305175,0.6099225259364327,13-24
18,0.008921241960018322,0.005458482124833448,0.6118522678004171,13-24
19,0.008989497094221695,0.0055019547687046805,0.6120425548878867,13-24
20,0.00909640442168373,0.005578393484692039,0.6132525804805288,13-24
21,0.009147060117569092,0.005606823623335238,0.6129645537767929,13-24
22,0.009151308380609093,0.005642151614389664,0.6165404311305848,13-24
23,0.00921050442432222,0.005685477401864646,0.6172818707790836,13-24
24,0.009136508968684717,0.005671430584660353,0.6207437221480456,13-24
25,0.005456697712950012,0.0044685243397333055,0.8189063376423543,25-36
26,0.0054882837943186664,0.004514514886152907,0.822573149520114,25-36
27,0.005544302067155132,0.004550817969344064,0.8208098899054321,25-36
28,0.00561454625517831,0.004611876852033446,0.8214157729629356,25-36
29,0.005630811880319417,0.004625209796040216,0.8214108186078921,25-36
30,0.005645928705665578,0.004622864608631326,0.8187961360532896,25-36
31,0.005641342141557893,0.00463388598722214,0.8214155197370218,25-36
32,0.005690573505968762,0.004684175506588447,0.8231464722624674,25-36
