period,haz_treated,haz_control,period_length_days,hr,hr_lo,hr_up,S_treated,S_control,delta_rmst_period_days
1,0.0033235384223518328,0.0067412522692080834,30,0.4930149903353579,0.4923796808096619,0.4937302233140135,0.9966764615776482,0.9932587477307919,0.0
2,0.003355836997336892,0.006806287285619395,30,0.4930495667479748,0.49240842735014867,0.49377337530493265,0.9933317778335111,0.9864983433447816,0.10253141540568889
3,0.0033804175499754625,0.006855618010046064,30,0.49308720891710667,0.4924387937751691,0.49381876788805157,0.9899739016587744,0.9797352875352665,0.20500303466188585
4,0.005872112239235366,0.015268220638786478,30,0.3845970252956787,0.38328721371162083,0.3860972710451379,0.9841606637943203,0.9647764729975731,0.30715842370523716
5,0.005864572129268937,0.015248432487949435,30,0.38460163914576817,0.38327699278287847,0.3861734878168504,0.9783889825947093,0.9500651440831077,0.5815257239024174
6,0.005856976280810446,0.015227931404762056,30,0.3846206109766728,0.3832471077379926,0.3862703661921862,0.9726585815302458,0.9355976172389547,0.8497151553480475
7,0.008365220275570778,0.013968117527709375,30,0.5988795740711802,0.5975529457884734,0.600506374549211,0.9645220782428211,0.9225290797627163,1.1118289287387306
8,0.00837618426198913,0.013984104387396144,30,0.5989789571035078,0.5976047427756705,0.6006519535071916,0.9564430635907025,0.9096283368109059,1.2597899544031455
9,0.008387763755077783,0.014005779902593631,30,0.5988787353087358,0.5975082030221257,0.600630003539354,0.9484206451281209,0.8968882825323701,1.4044418033938977
10,0.00823647958490902,0.013760065583687016,30,0.5985785122037225,0.5972016434588591,0.6004445205312506,0.9406089978466169,0.8845470409434842,1.5459708778725234
11,0.008256258688078118,0.013792203092004527,30,0.5986178301611836,0.5971916189389486,0.6005457601214297,0.9328430866360613,0.87234718851036,1.6818587070939794
12,0.008341216583637774,0.013932463313110037,30,0.5986892910594593,0.5972487406140373,0.6006323281935907,0.9250620404118808,0.8601932433101447,1.81487694377104
13,0.005371779703550056,0.010843811441762745,30,0.49537745398833977,0.49413938405705615,0.4970701033745394,0.9200928109186717,0.8508654699762112,1.946063913052083
14,0.005383194640271194,0.010866179226625158,30,0.49540823209328916,0.494148205148261,0.49715130381151784,0.9151397722303822,0.841619813281703,2.0768202282738155
15,0.005325720242536309,0.010752481187594531,30,0.495301516889028,0.49393754560869246,0.4971505054358277,0.9102659938206649,0.8325703120722846,2.2055987684603773
16,0.005326260999776887,0.010752175664716526,30,0.49536588369320605,0.49395504036500176,0.49724169856319733,0.9054176795583547,0.8236183698236555,2.330870452451408
17,0.005368562396305175,0.01083598915202458,30,0.49543814791491564,0.49398447729315687,0.4973982764570328,0.900556888250928,0.8146936501028382,2.4539792920409753
18,0.005458482124833448,0.011015532849381468,30,0.4955259268406564,0.49403919135765056,0.4975304812697906,0.8956412145740146,0.8057193654379479,2.5758971444426915
19,0.0055019547687046805,0.011101503279605908,30,0.49560448077442665,0.4940769682701883,0.49764877791146084,0.8907134371224407,0.7967746692600965,2.6976554740820013
20,0.005578393484692039,0.011252512023243717,30,0.49574650292921685,0.4941848907509171,0.4978593788639752,0.8857446870880692,0.7878089527144313,2.818163035870324
21,0.005606823623335238,0.011308031039884257,30,0.49582669198196916,0.49422085042595043,0.49799422599424864,0.8807784728522602,0.7789003846236379,2.9380720312091366
22,0.005642151614389664,0.011376315153593598,30,0.49595598734862734,0.4942735903020153,0.49823291034718314,0.8758089871697372,0.770039368374904,3.0563426468586696
23,0.005685477401864646,0.011460259842857411,30,0.49610370792841235,0.49433964644200235,0.4984200971236366,0.8708295949648337,0.7612145171240979,3.1730885638449946
24,0.005671430584660353,0.011430842022509772,30,0.496151602260979,0.49429666100978487,0.498535441035459,0.8658907453659227,0.7525131942336113,3.2884523352220727
25,0.0044685243397333055,0.006693616826144598,30,0.6675799430704931,0.6670562741241152,0.6679887518606902,0.8620214914947052,0.7474761592547934,3.401326533969342
26,0.004514514886152907,0.006762342581496761,30,0.6675962999132284,0.6670733452050586,0.6680146599175347,0.8581298826391686,0.742421469394411,3.4363599671973546
27,0.004550817969344064,0.006816289440794351,30,0.6676386043861606,0.6671047185533383,0.668069265673418,0.854224689749223,0.7373609097719588,3.4712523973427265
28,0.004611876852033446,0.006907206845726425,30,0.6676905665402032,0.667149960855176,0.6681334001267605,0.8502851106761331,0.7322678054482108,3.505913399317928
29,0.004625209796040216,0.006927325315287459,30,0.6676761355256616,0.6671291715682577,0.6681477453445445,0.8463523636528067,0.7271951481419594,3.5405191568376693
30,0.004622864608631326,0.006923644970518861,30,0.6676923251142507,0.66713030886253,0.6681868421539874,0.8424397912644447,0.7221603071119406,3.5747164653254204
31,0.00463388598722214,0.006940144705078434,30,0.6676929926016247,0.6671206002146046,0.6681944694952985,0.838536021320626,0.7171484100803198,3.6083845245751234
32,0.004684175506588447,0.007015108704931348,30,0.6677267172347101,0.6671485000288313,0.6682321601725442,0.8346081714281638,0.7121175360260377,3.641628337209185
33,0.004687479878904924,0.007020343432727867,30,0.6676995112593129,0.6670654662907943,0.6682303396528072,0.8306959624178246,0.707118226358667,3.674719062063784
34,0.004651390784371919,0.006966971694966307,30,0.6676345172655985,0.6670223446515773,0.6681459955895481,0.8268320708736194,0.7021917536906314,3.70733208177473
35,0.004664079722856697,0.006985746284423466,30,0.667656615765802,0.6670220375300934,0.6681825985853846,0.8229756601776502,0.6972864202563342,3.739209515489642
36,0.004655518990302596,0.006973839785120562,30,0.667568962544228,0.6669901673562085,0.6681137433094011,0.8191442813631363,0.6924236564771263,3.770677197639479
37,0.002861584222888187,0.006298072119660691,30,0.4543587574926587,0.4537549838120745,0.45491845179770324,0.8168002310113185,0.6880627223512742,3.8016187465802997
38,0.002908438661803444,0.006400531516279583,30,0.4544058027690211,0.45379516078451543,0.45496698711430933,0.8144246176404751,0.6836587552116877,3.8621252598013287
39,0.002940892215776658,0.006471328880588694,30,0.4544495064372507,0.4538256859538835,0.4550217609706475,0.8120294826221194,0.679234574564619,3.9229758728636224
40,0.0029765453905217266,0.006549339684949651,30,0.4544802275810816,0.4538430608425326,0.4550576395887988,0.8096124400086527,0.674786036610033,3.9838472417250115
41,0.0030048911738015556,0.006611096145438155,30,0.4545223829296472,0.4538615019478114,0.45511435782949755,0.8071796427334708,0.6703249612444049,4.044792101958592
42,0.0030265226960501652,0.006658336198889269,30,0.45454639201833097,0.4538667949352913,0.4551628909994265,0.8047366952249482,0.6658617122899323,4.105640444671977
43,0.0029458466333337884,0.006482721508999495,30,0.45441511396784234,0.45375452353897094,0.4551204223336571,0.8023660643405996,0.661545116245651,4.166249488050476
44,0.002961112900188782,0.006515679796098666,30,0.45445954878902745,0.45377990072332175,0.45519263525666276,0.799990167836807,0.6572347000975215,4.224628442848458
45,0.00298640995679343,0.006570871701547489,30,0.4544922032323517,0.4537860504998671,0.4552364812819608,0.7976010692342422,0.6529160952053756,4.282664032178564
46,0.003007783057637831,0.006617166795074631,30,0.45454242741419487,0.453806043169146,0.45530557247080006,0.7952020582514456,0.6485956405002128,4.340549220865998
47,0.0030384027606046066,0.006684037125492542,30,0.4545759850758921,0.45383041489992154,0.4553491644266787,0.792785914122416,0.6442604031596767,4.398192532536985
48,0.003079374591118594,0.006773578122810855,30,0.4546156455697207,0.453852030683379,0.45538841330320595,0.7903446293222707,0.639896454987441,4.455765328882178
49,0.0031222555470764696,0.00686699824664563,30,0.4546754542425607,0.45389084996934687,0.4554889766493247,0.7878769714192672,0.6355022871530075,4.5134452300448915
50,0.0031627213007762683,0.0069553793747007715,30,0.45471585809973625,0.4539172545849211,0.4555446565329158,0.7853851361393683,0.6310821276523683,4.57124052798779
51,0.003210746138854676,0.007060219274640807,30,0.45476578190526873,0.4539558992937945,0.45561697025628545,0.782863463845995,0.6266265494508356,4.629090254610002
52,0.0032533738912052467,0.007153201018092655,30,0.45481370969115215,0.4539867607451714,0.455669454648149,0.7803165162923399,0.62214416377934,4.687107431854782
53,0.003297712482805749,0.007249934791654703,30,0.4548609853155781,0.4540121722803857,0.45573843875748593,0.7777432567760232,0.6176336591609313,4.745170575389997
54,0.0033273128726452783,0.0073141415262371326,30,0.4549150246422786,0.4540338447593439,0.455819402666167,0.7751554616261392,0.6131161991664605,4.803287928452757
55,0.0032724650526061434,0.007193990178603883,30,0.45488872953135184,0.45399275172077824,0.45583936291672583,0.7726187924676309,0.608705447251314,4.861177873790361
56,0.003303390589181026,0.007261797091847655,30,0.45489987497578616,0.4540114266883018,0.45588716563236303,0.7700665308195689,0.6042851518046727,4.917400356489505
57,0.0033368220467674303,0.007334570843389695,30,0.4549444157015337,0.454038960180361,0.455946775715918,0.7674969558420525,0.5998529795491528,4.973441370446886
58,0.003288864808707129,0.007230065061680335,30,0.4548873046991317,0.4539676519077625,0.45600317335587265,0.7649727621131936,0.5955160034795697,5.029319288786988
59,0.003335213373399589,0.007331184893109574,30,0.45493510558358524,0.4539999725479304,0.456057817655585,0.7624214147267073,0.5911501655512552,5.08370275900872
60,0.003380806063917426,0.007430156687298333,30,0.4550114090725475,0.45400951827383296,0.4561934179343713,0.7598438157845387,0.5867578271954871,5.138137475263563
61,0.0024752304846895603,0.0070027214746887735,30,0.35346693333959406,0.35258007165249683,0.35449151280176006,0.757963027208106,0.5826489255585435,5.1925796576715495
62,0.0024687815864081965,0.00698441304726721,30,0.3534701584371726,0.3524836741682695,0.35450990172785923,0.7560917820433565,0.5785794648008963,5.259423049486875
63,0.002510673783991777,0.0071018123490388255,30,0.3535257847712038,0.35252541597377934,0.3545983302065252,0.7541934822278886,0.574470502012873,5.325369517273806
64,0.0024747518803186147,0.007003745670146466,30,0.3533469084788828,0.3524535650219458,0.3543967475685486,0.7523270404896211,0.5704470567217734,5.391689406450469
65,0.0025652202745076983,0.007258027159332904,30,0.35343216802504657,0.3525242518944441,0.3545333858592616,0.7503971559122967,0.5663067364911253,5.4563995130354295
